time,open,high,low,close,Volume,BBPower
2012-07-07,6.6,6.79,6.56,6.79,1408.47982275,0.2964166508036268
2012-07-08,6.8,6.8,6.45,6.73,830.37090426,0.13835712926025145
2012-07-09,6.77,6.99,6.55,6.94,1751.75552756,0.3185918250802162
2012-07-10,6.95,7.13,6.95,7.08,1495.14428871,0.7245072786401856
2012-07-11,7.08,7.15,7.04,7.14,751.6620754,0.7024348102630169
2012-07-12,7.15,7.59,7.1,7.59,2325.83757491,0.9606584087968706
2012-07-13,7.6,7.69,7.46,7.59,1204.54573744,1.2134214932544616
2012-07-14,7.58,7.58,7.44,7.55,717.31461973,0.9172184227895395
2012-07-15,7.55,7.57,7.4,7.57,322.39208253,0.7190443623910348
2012-07-16,7.57,8.3,7.14,8.3,3680.08259313,0.8534665963351715
2012-07-17,8.3,8.8,7.7,8.55,3658.89689039,1.5543999397158617
2012-07-18,8.5,9.15,8.36,9,2613.84283038,2.128057091185024
2012-07-19,9.06,9.2,8.76,8.76,2512.84139938,2.2726203638728766
2012-07-20,8.76,8.76,7.93,8.44,1378.66512932,0.832246026176751
2012-07-21,8.52,8.91,8.2,8.74,2380.64465925,1.0204965938657864
2012-07-22,8.74,8.8,8.3,8.42,1483.54734477,0.903282794742104
2012-07-23,8.42,8.88,8.1,8.59,2585.86162059,0.6428138240646604
2012-07-24,8.59,8.8,8.25,8.61,1298.89850455,0.5866975634839946
2012-07-25,8.59,8.64,8.24,8.64,1795.4597738,0.3000264829862811
2012-07-26,8.64,8.83,8.45,8.75,837.67858922,0.5685941282739524
2012-07-27,8.76,8.91,8.76,8.83,687.49671529,0.8230806813776734
2012-07-28,8.83,9,8.78,8.88,1498.92603223,0.802640584038004
2012-07-29,8.79,8.79,8.7,8.71,590.37066164,0.44940621488971644
2012-07-30,8.7,9,8.54,9,2423.61350596,0.36234818419118753
2012-07-31,9,9.28,8.92,9.28,1324.42575089,0.8248698721638767
2012-08-01,9.28,9.5,8.9,9.45,2419.60607319,0.8070313189976108
2012-08-02,9.45,10.52,9.4,10.44,2209.70926083,1.8574554162836652
2012-08-03,10.4,12,10.1,10.79,2419.41343128,3.534961785385997
2012-08-04,10.96,11.2,10.5,10.51,635.36838137,2.7842529589022824
2012-08-05,10.93,10.93,10.29,10.71,1906.76190708,1.9465025362019546
2012-08-06,10.71,10.99,10.43,10.84,2070.07812126,1.8027164596016778
2012-08-07,10.86,10.87,10.72,10.75,1039.03555,1.7037569653728681
2012-08-08,10.75,11.04,10.7,10.99,2746.09461916,1.554648827462458
2012-08-09,11,12.49,10.79,11,2432.99473284,2.835413280682106
2012-08-10,11,11.5,10.9,11.32,2554.43905586,1.6417828120132345
2012-08-11,11.32,11.4,11.25,11.38,358.81692698,1.605813838868487
2012-08-12,11.4,11.69,11.34,11.49,838.43263012,1.7092690047444155
2012-08-13,11.42,11.98,11.4,11.89,3499.58597122,1.7079448612094996
2012-08-14,11.9,12.3,11.81,12.25,1925.97314889,2.03395273817957
2012-08-15,12.13,13.2,12.13,13.01,1592.26779355,2.690530918439629
2012-08-16,13.14,13.5,12.75,13.42,1529.32907411,3.010455072948254
2012-08-17,13.49,16.41,11.5,12.5,4868.2788647,4.418961491098504
2012-08-18,12.64,12.99,11.11,11.54,2511.36721749,0.6676812780844319
2012-08-19,11.86,11.86,7.1,8.06,5427.25152634,-3.4277017616419148
2012-08-20,8.09,10.33,7.86,10.05,3382.49965273,-3.8708872242644974
2012-08-21,9.79,10.51,9.53,10.18,3384.91944347,-1.777903335083856
2012-08-22,9.99,10.71,9.75,9.96,8193.33129551,-1.086774287214734
2012-08-23,9.96,10.19,9.78,10.02,2710.25541207,-1.3615208176126323
2012-08-24,10.03,10.51,9.83,10.37,4170.89273974,-0.907017843667969
2012-08-25,10.45,10.58,10.14,10.57,581.27122838,-0.5117295802868309
2012-08-26,10.57,10.62,10.2,10.31,1412.06354461,-0.32433964024585826
2012-08-27,10.31,11.93,10.31,10.78,4283.77447567,1.036280308360693
2012-08-28,10.9,11.21,10.63,11,2970.10121296,0.5225259785948797
2012-08-29,11,11.05,10.49,10.78,4768.86011122,0.1878794102241823
2012-08-30,10.81,10.91,10.51,10.65,1513.88396981,0.0753252087635854
2012-08-31,10.65,10.8,9.69,10.16,2915.12925669,-0.7082926782026409
2012-09-01,10.2,10.2,9.85,9.91,665.20204584,-0.951393724173693
2012-09-02,10.07,10.18,9.49,10.18,1340.45182165,-1.2397660492917364
2012-09-03,10.17,10.55,9.95,10.55,1166.65101376,-0.4369423279643456
2012-09-04,10.36,10.5,10.14,10.36,2649.65990944,-0.26595056682658225
2012-09-05,10.38,10.99,10.12,10.99,1870.38903077,0.05061379986292991
2012-09-06,10.9,11.15,10.68,11.02,3296.23211516,0.6305261141682248
